input_sentence,output_sentence,adversarial,input_span,output_span,swap_needed,outdated_word_s_,outdated_word_s__pos
She shall <extra_id_0> manage <extra_id_1> the rollout next week.,She shall <extra_id_0> facilitate <extra_id_1> the rollout next week.,FALSE,manage,facilitate,1,manage,noun
We <extra_id_0> will <extra_id_1> succeed with <extra_id_2>  effort <extra_id_3>.,We <extra_id_0> shall <extra_id_1> succeed with <extra_id_2>  exertion <extra_id_3>.,FALSE,will,shall,1,will,modal
We need to <extra_id_0> manage <extra_id_1> this strategy properly.,We need to <extra_id_0> facilitate <extra_id_1> this strategy properly.,FALSE,manage,facilitate,1,manage,verb
Configure the <extra_id_0> agent <extra_id_1> appropriately!,Configure the <extra_id_0> system <extra_id_1> appropriately!,FALSE,agent,system,1,agent,noun
High <extra_id_0> voltage <extra_id_1> and increased <extra_id_2> shrinkage <extra_id_3> were indicators of system failure.,High <extra_id_0> volt <extra_id_1> and increased <extra_id_2> reduction <extra_id_3> were indicators of system failure.,FALSE,"voltage, shrinkage","volt, reduction",1,"voltage, shrinkage","noun,noun"
The <extra_id_0> agent <extra_id_1> is crucial in this context.,The <extra_id_0> system <extra_id_1> is crucial in this context.,FALSE,agent,system,1,agent,noun
A canopy of <extra_id_0> foliage <extra_id_1> shielded the path.,A canopy of <extra_id_0> verdure <extra_id_1> shielded the path.,FALSE,foliage,verdure,1,foliage,noun
She shall <extra_id_0> manage <extra_id_1> the rollout next week now.,She shall <extra_id_0> facilitate <extra_id_1> the rollout next week now.,FALSE,manage,facilitate,1,manage,verb
Configure the <extra_id_0> agent <extra_id_1> appropriately.,Configure the <extra_id_0> system <extra_id_1> appropriately.,FALSE,agent,system,1,agent,noun
The <extra_id_0> user <extra_id_1> is crucial in this context now.,The <extra_id_0> interactor <extra_id_1> is crucial in this context now.,FALSE,user,interactor,1,user,noun
The <extra_id_0> previous <extra_id_1> car was slow but reliable.,The <extra_id_0> previous <extra_id_1> car was slow but reliable.,FALSE,previous,previous,0,,
Detecting <extra_id_0> old <extra_id_1> software and preventing <extra_id_2> shrinkage <extra_id_3> are key maintenance tasks.,Detecting <extra_id_0> previous <extra_id_1> software and preventing <extra_id_2> reduction <extra_id_3> are key maintenance tasks.,FALSE,"old, shrinkage","previous, reduction",1,"old, shrinkage","adj,noun"
The <extra_id_0> userr <extra_id_1> is important.,The <extra_id_0> userr <extra_id_1> is important.,TRUE,userr,userr,0,,
<extra_id_0> Foliage <extra_id_1> covered the forest floor.,<extra_id_0> Verdure <extra_id_1> covered the forest floor.,FALSE,Foliage,Verdure,1,foliage,noun
The <extra_id_0> larceny <extra_id_1> is crucial in this context.,The <extra_id_0> larceny <extra_id_1> is crucial in this context.,FALSE,larceny,larceny,0,,
We need to <extra_id_0> facilitate <extra_id_1> this strategy properly!,We need to <extra_id_0> facilitate <extra_id_1> this strategy properly!,FALSE,facilitate,facilitate,0,,
We can't <extra_id_0> facilitate <extra_id_1> everything alone.,We can't <extra_id_0> facilitate <extra_id_1> everything alone.,FALSE,facilitate,facilitate,0,,
The <extra_id_0> foliage <extra_id_1> was thick and lush.,The <extra_id_0> verdure <extra_id_1> was thick and lush.,FALSE,foliage,verdure,1,foliage,noun
Many <extra_id_0> users <extra_id_1> tried the <extra_id_2> pilferagee <extra_id_3>.,Many <extra_id_0> interactors <extra_id_1> tried the <extra_id_2> pilferagee <extra_id_3>.,TRUE,"users, pilferagee","interactors, pilferagee",1,users,noun
Continuous training helps every <extra_id_0> user <extra_id_1> to adapt to <extra_id_2> shrinkage <extra_id_3> in dynamic environments.,Continuous training helps every <extra_id_0> interactor <extra_id_1> to adapt to <extra_id_2> reduction <extra_id_3> in dynamic environments.,FALSE,"user, shrinkage","interactor, reduction",1,"user, shrinkage","noun,noun"
The <extra_id_0> old <extra_id_1> car was slow but reliable.,The <extra_id_0> previous <extra_id_1> car was slow but reliable.,FALSE,old,previous,1,old,adj
The facilitator's decision was <extra_id_0> daring <extra_id_1>.,The facilitator's decision was <extra_id_0> daring <extra_id_1>.,FALSE,daring,daring,0,,
There's <extra_id_0> factor <extra_id_1> for this design in other fields now.,There's <extra_id_0> factor <extra_id_1> for this design in other fields now.,FALSE,factor,factor,0,,
We need to <extra_id_0> factor <extra_id_1> this strategy properly.,We need to <extra_id_0> factor <extra_id_1> this strategy properly.,FALSE,factor,factor,0,,
